,impact: 0.0,impact: 0.0035714285714285718,impact: 0.0071428571428571435,impact: 0.010714285714285714,impact: 0.014285714285714287,impact: 0.01785714285714286,impact: 0.02142857142857143,impact: 0.025,impact: 0.028571428571428574,impact: 0.03214285714285715,impact: 0.03571428571428572,impact: 0.03928571428571429,impact: 0.04285714285714286,impact: 0.04642857142857143,impact: 0.05,impact: 0.1,impact: 0.5
manual_cr,0.817,0.7161257142857136,0.6152514285714296,0.5143771428571426,0.41350285714285795,0.31262857142857103,0.21175428571428595,0.11088,0.010005714285714057,-0.09086857142857101,-0.1917428571428577,-0.29261714285714246,-0.39349142857142855,-0.4943657142857141,-0.59524,-2.00748,-13.3054
manual_adr,0.0012402937279007266,0.0011287100585857062,0.0010107239029396471,0.0008855274177061178,0.0007521487235054988,0.0006094041740633007,0.0004558319006617577,0.0002895970712754764,0.00010835308109627737,-9.09684360679341e-05,-0.000312487570579649,-0.0005619189542728117,-0.000847516742312816,-0.0011818421448351977,-0.0015853967113658575,-0.003327653862856033,0.00043369948524337603
manual_sddr,0.010491037496012056,0.010666675517814542,0.010881949382608893,0.01114137588708611,0.011450207675609529,0.011814676457689402,0.012242347943893984,0.012742649145626218,0.013327671017467272,0.014013429678122715,0.014821929798951802,0.01578471490951152,0.01694937326705207,0.01839245142573912,0.02024791249024442,0.22493722871575644,0.17410453527191022
bench_cr,0.0123,0.010897114714394996,0.009490363878457385,0.008079731493272934,0.006665201471515475,0.005246757636837408,0.0038243837232501254,0.002398063374504295,0.0009677801434624678,-0.0004664825085332577,-0.001904741212298853,-0.0033470126914516094,-0.00479331376305627,-0.006243661338281611,-0.007698072423057511,-0.02849625076700675,-0.2305454095214511
bench_adr,0.00016808697819094035,0.00016575664293410074,0.00016342068449609064,0.00016107908339841213,0.00015873182007934453,0.00015637887489354364,0.00015402022811171766,0.00015165585992019755,0.00014928575042058028,0.0001469098796293484,0.00014452822747748265,0.00014214077381007116,0.00013974749838595424,0.00013734838087729474,0.00013494340086923356,0.00010064647549573436,-0.0002230313548981048
bench_sddr,0.017004366271213767,0.017029327839869133,0.017054593930637813,0.01708016573870568,0.01710604445619846,0.017132231272177854,0.017158727372639578,0.017185533940513392,0.017212652155665142,0.017240083194900745,0.017267828231972232,0.017295888437585765,0.017324264979411703,0.017352959022096635,0.01738197172727752,0.017822252691458217,0.023966487803550634
learner_cr,3.0459,2.4263650808807693,2.048380084417682,1.7490555977281967,1.2727230939175713,1.147166337320846,0.508321815768419,-0.11972230844354942,0.0398003195118918,-0.894287469665076,-1.196851020991986,-1.8485300679210874,-2.460115476022828,-2.4719133874207664,-2.957593482348026,-8.704606200534565,-69.20489334234954
learner_adr,0.0028087362845026034,0.002483516770593636,0.002257594909895085,0.0020667575260194674,0.0016891973773356776,0.0015751888685414596,0.0009084709324483501,-9.263679295282853e-05,0.00020902895664579453,-0.0037944659273652626,0.007403897707477444,-0.06642991063960732,-0.011484885841988469,-0.007611110646638661,0.006409533080322591,0.002665900947342097,0.0028907002543686017
learner_sddr,0.007995791265373156,0.008653618168193012,0.009373200069333763,0.010059377369835719,0.010899080248236319,0.01080101857150241,0.013645995253615834,0.018003738145717794,0.016268240635309034,0.03599336751077112,0.35714195920852804,2.709472548532421,1.0010824831001301,0.23792200525414461,0.23515395076309395,0.13949498519272088,0.1855237557678999
